filename,psnr,ssim
1.png,31.761986671550865,0.92380565
2.png,30.50927006900298,0.7956365
3.png,23.989108897716186,0.84876174
4.png,29.753097934674354,0.9450283
5.png,29.167255827771758,0.85738796
6.png,27.514458106970842,0.86205435
7.png,23.64550941099742,0.8065846
8.png,29.575118585821226,0.89094526
9.png,24.748653550955076,0.7937431
10.png,31.632234713146286,0.93464357
11.png,29.499223826291946,0.88885593
12.png,29.23600680106485,0.8810885
13.png,33.440613313937384,0.92993474
14.png,28.597302908381117,0.85913944
15.png,35.66372799593716,0.95121104
16.png,24.698033667570286,0.8422614
17.png,30.034953558977698,0.8718391
18.png,25.221112277578438,0.8387715
19.png,22.600129215856253,0.7118717
20.png,29.45752755258477,0.89404994
21.png,27.72802222997671,0.7309404
22.png,29.91306858278528,0.8951912
23.png,28.144620530073368,0.90389854
24.png,29.698714220975674,0.90944463
25.png,29.48504385930287,0.8966283
26.png,25.086533750691665,0.89074963
27.png,29.64641874837674,0.9012138
28.png,24.777604190294838,0.89050317
29.png,30.964249360238888,0.82020885
30.png,30.68049379659999,0.9124598
31.png,23.899372428651798,0.76759815
32.png,31.701188354804593,0.9082232
33.png,33.58871661449792,0.94972444
34.png,29.01270512081602,0.8720734
35.png,30.396517808401118,0.88789797
36.png,29.303751015379195,0.8955143
37.png,20.780959573926623,0.71930647
38.png,24.27035733809836,0.77221036
39.png,26.230015320204902,0.8695033
40.png,28.28011987257634,0.9005448
41.png,27.003459024341613,0.8914638
42.png,22.551147063218437,0.75694317
43.png,28.20160485580539,0.8958459
44.png,30.394533513624747,0.9387784
45.png,27.094579662928414,0.8926029
46.png,27.06980544569071,0.9137748
47.png,30.136728039843035,0.8913446
48.png,30.897642354048195,0.89123183
49.png,27.05973705656428,0.81477934
50.png,34.36143112927551,0.9237378
51.png,26.434942218232564,0.8740921
52.png,24.742611542809204,0.74062175
53.png,23.824222639435657,0.7758856
54.png,30.236970406869197,0.91281414
55.png,19.562197116903583,0.72675306
56.png,27.731260208036083,0.8618925
57.png,27.659026813207333,0.86591095
58.png,20.620794708934405,0.67204285
59.png,21.18917988751385,0.74280435
60.png,33.267260832523434,0.9412198
61.png,26.535066724204704,0.8327036
62.png,26.46412960586913,0.84044427
63.png,26.744547249101146,0.904761
64.png,28.42792360661602,0.8913846
65.png,24.18660018144228,0.84269696
66.png,27.593019729528976,0.8296539
67.png,20.783529806044392,0.66217905
68.png,24.67428240739739,0.8326966
69.png,26.972430082047268,0.86312836
70.png,26.412182671705335,0.8883981
71.png,27.400128452806534,0.88392526
72.png,31.825374407308527,0.924056
73.png,27.137831848075507,0.8326645
74.png,30.061924048949358,0.9111665
75.png,29.228804968025383,0.91865015
76.png,33.205790614243924,0.93690544
77.png,24.490288724639974,0.8256286
78.png,27.653234375039606,0.9031956
79.png,28.35609086211546,0.8479338
80.png,31.084563209380804,0.89477473
81.png,25.264648604784682,0.8929324
82.png,23.2337639639244,0.84402007
83.png,27.787955687301675,0.8390959
84.png,28.19586891042244,0.9140536
85.png,25.69343211619418,0.936537
86.png,27.2968017182018,0.9121937
87.png,27.288246473869545,0.8711508
88.png,29.523244651952023,0.8987995
89.png,29.25966965972779,0.90974647
90.png,22.48881868331638,0.76599884
91.png,26.29043724105669,0.81291944
92.png,22.68473828838612,0.7787238
93.png,25.689137137758422,0.8877272
94.png,27.05161344355465,0.7450843
95.png,29.87998364718926,0.7194933
96.png,26.18479929236813,0.8357957
97.png,30.836020162310028,0.9309985
98.png,30.87464738163895,0.8710881
99.png,21.280762209400024,0.75894046
100.png,27.11986761339545,0.8493536
